track_id,track_name,artist_name,artist_genres,album_name,track_popularity,explicit,track_duration_min,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
19KlZwqlT3fguP2BeHF1Q1,Disease,Lady Gaga,"art pop, pop",Disease,70,False,3.83,0.562,0.917,-2.768,0.117,0.0513,0.0,0.488,0.501,100.987
3bg2qahpZmsg5wV2EMPXIk,Forever Young,David Guetta,edm,Forever Young,73,False,2.61,0.558,0.655,-5.476,0.0379,0.208,0.0,0.0854,0.39,129.89
5vNRhkKd0yEAg8suGBpjeY,APT.,ROSÉ,k-pop,APT.,88,False,2.83,0.777,0.783,-4.477,0.26,0.0283,0.0,0.355,0.939,149.027
5vNRhkKd0yEAg8suGBpjeY,APT.,ROSÉ,k-pop,APT.,88,False,2.83,0.777,0.783,-4.477,0.26,0.0283,0.0,0.355,0.939,149.027
1Cbl3Yq8rHo7hhDQmLQagU,PUSH 2 START,Tyla,afrobeats,TYLA +,80,False,2.61,0.683,0.814,-3.505,0.0466,0.277,0.00826,0.0858,0.758,93.482
1Cbl3Yq8rHo7hhDQmLQagU,PUSH 2 START,Tyla,afrobeats,TYLA +,80,False,2.61,0.683,0.814,-3.505,0.0466,0.277,0.00826,0.0858,0.758,93.482
2CspwnypzT7rcWI9RfsoSb,Mantra,JENNIE,k-pop,Mantra,73,True,2.27,0.894,0.725,-4.984,0.0432,0.00434,1.15e-05,0.0815,0.838,116.988
1Es7AUAhQvapIcoh3qMKDL,Timeless (feat. Playboi Carti),The Weeknd,"r&b pop, alternative r&b, hip hop, synthpop",Timeless,19,True,4.26,0.769,0.722,-5.485,0.0507,0.0584,2.56e-06,0.111,0.57,119.973
1Es7AUAhQvapIcoh3qMKDL,Timeless (feat. Playboi Carti),The Weeknd,"r&b pop, alternative r&b, hip hop, synthpop",Timeless,19,True,4.26,0.769,0.722,-5.485,0.0507,0.0584,2.56e-06,0.111,0.57,119.973
1Es7AUAhQvapIcoh3qMKDL,Timeless (feat. Playboi Carti),The Weeknd,"r&b pop, alternative r&b, hip hop, synthpop",Timeless,19,True,4.26,0.769,0.722,-5.485,0.0507,0.0584,2.56e-06,0.111,0.57,119.973
1Es7AUAhQvapIcoh3qMKDL,Timeless (feat. Playboi Carti),The Weeknd,"r&b pop, alternative r&b, hip hop, synthpop",Timeless,19,True,4.26,0.769,0.722,-5.485,0.0507,0.0584,2.56e-06,0.111,0.57,119.973
1cOboCuWYI2osTOfolMRS6,Tu Boda,Oscar Maydon,"corrido, corridos tumbados, corridos bélicos, electro corridos, dembow belico, sad sierreño, sierreño",Tu Boda,83,True,3.76,0.694,0.651,-6.968,0.0784,0.496,1.36e-05,0.0787,0.471,112.648
1cOboCuWYI2osTOfolMRS6,Tu Boda,Oscar Maydon,"corrido, corridos tumbados, corridos bélicos, electro corridos, dembow belico, sad sierreño, sierreño",Tu Boda,83,True,3.76,0.694,0.651,-6.968,0.0784,0.496,1.36e-05,0.0787,0.471,112.648
1cOboCuWYI2osTOfolMRS6,Tu Boda,Oscar Maydon,"corrido, corridos tumbados, corridos bélicos, electro corridos, dembow belico, sad sierreño, sierreño",Tu Boda,83,True,3.76,0.694,0.651,-6.968,0.0784,0.496,1.36e-05,0.0787,0.471,112.648
3aCPResPDNae3pXTocGpYe,LIL DEMON,Future,rap,MIXTAPE PLUTO,74,True,2.31,0.863,0.754,-5.851,0.0611,0.00125,0.0,0.0913,0.301,131.001
2PnlsTsOTLE5jnBnNe2K0A,The Emptiness Machine,Linkin Park,"nu metal, rap metal, rock, alternative metal",The Emptiness Machine,77,True,3.17,0.466,0.872,-3.344,0.0336,0.0156,0.0,0.121,0.806,184.115
2PnlsTsOTLE5jnBnNe2K0A,The Emptiness Machine,Linkin Park,"nu metal, rap metal, rock, alternative metal",The Emptiness Machine,77,True,3.17,0.466,0.872,-3.344,0.0336,0.0156,0.0,0.121,0.806,184.115
1d7Ptw3qYcfpdLNL5REhtJ,Taste,Sabrina Carpenter,pop,Short n' Sweet,69,False,2.62,0.67,0.91,-4.07,0.0634,0.0939,0.0,0.304,0.786,112.966
2HRqTpkrJO5ggZyyK6NPWz,Espresso,Sabrina Carpenter,pop,Short n' Sweet,85,True,2.92,0.699,0.776,-5.282,0.0293,0.131,5.36e-06,0.205,0.708,103.963
21B4gaTWnTkuSh77iWEXdS,Juno,Sabrina Carpenter,pop,Short n' Sweet,83,True,3.71,0.633,0.725,-4.257,0.0427,0.0461,0.0,0.205,0.64,130.504
1UHS8Rf6h5Ar3CDWRd3wjF,Bed Chem,Sabrina Carpenter,pop,Short n' Sweet,82,False,2.86,0.739,0.727,-5.968,0.0426,0.0678,0.0,0.104,0.676,94.99
2tHwzyyOLoWSFqYNjeVMzj,Please Please Please,Sabrina Carpenter,pop,Short n' Sweet,83,True,3.1,0.675,0.586,-6.086,0.0531,0.257,0.0,0.104,0.621,107.015
2plbrEY59IikOBgBGLjaoe,Die With A Smile,Lady Gaga,"art pop, pop",Die With A Smile,91,False,4.19,0.521,0.592,-7.777,0.0304,0.308,0.0,0.122,0.535,157.969
2plbrEY59IikOBgBGLjaoe,Die With A Smile,Lady Gaga,"art pop, pop",Die With A Smile,91,False,4.19,0.521,0.592,-7.777,0.0304,0.308,0.0,0.122,0.535,157.969
2plbrEY59IikOBgBGLjaoe,Die With A Smile,Lady Gaga,"art pop, pop",Die With A Smile,91,False,4.19,0.521,0.592,-7.777,0.0304,0.308,0.0,0.122,0.535,157.969
7ov3TDp5D00Rnu5R1viX4w,New Woman (feat. ROSALÍA),LISA,k-pop,New Woman (feat. ROSALÍA),69,True,2.99,0.477,0.854,-4.715,0.275,0.0858,0.0,0.065,0.314,140.515
6aJn7Cst74cj4lNIiPRgav,Touch,KATSEYE,k-pop,Touch,86,False,2.16,0.739,0.904,-2.655,0.0442,0.549,1.03e-05,0.0948,0.788,167.033
5nPbKG04fhLkIAjcPFaZq7,I Adore You (feat. Daecolm),HUGEL,"latin house, afro house, techengue",I Adore You (feat. Daecolm),84,False,3.56,0.704,0.787,-6.751,0.0462,0.00926,0.00538,0.159,0.31,119.996
5nPbKG04fhLkIAjcPFaZq7,I Adore You (feat. Daecolm),HUGEL,"latin house, afro house, techengue",I Adore You (feat. Daecolm),84,False,3.56,0.704,0.787,-6.751,0.0462,0.00926,0.00538,0.159,0.31,119.996
5nPbKG04fhLkIAjcPFaZq7,I Adore You (feat. Daecolm),HUGEL,"latin house, afro house, techengue",I Adore You (feat. Daecolm),84,False,3.56,0.704,0.787,-6.751,0.0462,0.00926,0.00538,0.159,0.31,119.996
7tI8dRuH2Yc6RuoTjxo4dU,Who,Jimin,k-pop,MUSE,86,False,2.84,0.66,0.756,-3.743,0.032,0.00289,0.0,0.193,0.838,116.034
7tI8dRuH2Yc6RuoTjxo4dU,Who,Jimin,k-pop,MUSE,86,False,2.84,0.66,0.756,-3.743,0.032,0.00289,0.0,0.193,0.838,116.034
2yR2sziCF4WEs3klW1F38d,KEEP UP,Odetari,"hyperpop, nightcore",KEEP UP // FROSTBITE,75,True,2.22,0.476,0.829,-3.806,0.0658,0.0172,0.00916,0.167,0.505,139.198
0OA00aPt3BV10qeMIs3meW,Big Dawgs,Hanumankind,"malayalam hip hop, desi hip hop",Big Dawgs,76,True,3.17,0.464,0.745,-3.202,0.161,0.0235,0.0,0.363,0.262,180.098
0OA00aPt3BV10qeMIs3meW,Big Dawgs,Hanumankind,"malayalam hip hop, desi hip hop",Big Dawgs,76,True,3.17,0.464,0.745,-3.202,0.161,0.0235,0.0,0.363,0.262,180.098
6vvPecFTmWxDfEJ6cYT1wa,Rockstar,LISA,k-pop,Rockstar,74,True,2.3,0.668,0.628,-4.692,0.046,0.129,0.0,0.0293,0.568,140.053
6WatFBLVB0x077xWeoVc2k,Si Antes Te Hubiera Conocido,KAROL G,"reggaeton, latin, urbano latino",Si Antes Te Hubiera Conocido,83,False,3.26,0.924,0.668,-6.795,0.0469,0.446,0.000594,0.0678,0.787,128.027
6WatFBLVB0x077xWeoVc2k,Si Antes Te Hubiera Conocido,KAROL G,"reggaeton, latin, urbano latino",Si Antes Te Hubiera Conocido,83,False,3.26,0.924,0.668,-6.795,0.0469,0.446,0.000594,0.0678,0.787,128.027
6WatFBLVB0x077xWeoVc2k,Si Antes Te Hubiera Conocido,KAROL G,"reggaeton, latin, urbano latino",Si Antes Te Hubiera Conocido,83,False,3.26,0.924,0.668,-6.795,0.0469,0.446,0.000594,0.0678,0.787,128.027
6WatFBLVB0x077xWeoVc2k,Si Antes Te Hubiera Conocido,KAROL G,"reggaeton, latin, urbano latino",Si Antes Te Hubiera Conocido,83,False,3.26,0.924,0.668,-6.795,0.0469,0.446,0.000594,0.0678,0.787,128.027
1BJJbSX6muJVF2AK7uH1x4,Move,Adam Port,"afro house, house, afro tech",Move,82,False,2.95,0.727,0.782,-8.529,0.042,0.0563,0.336,0.225,0.655,119.992
1BJJbSX6muJVF2AK7uH1x4,Move,Adam Port,"afro house, house, afro tech",Move,82,False,2.95,0.727,0.782,-8.529,0.042,0.0563,0.336,0.225,0.655,119.992
4w2GLmK2wnioVnb5CPQeex,360,Charli xcx,"hyperpop, art pop",BRAT,76,True,2.23,0.857,0.62,-8.13,0.0472,0.646,0.244,0.0934,0.796,120.042
19RybK6XDbAVpcdxSbZL1o,Apple,Charli xcx,"hyperpop, art pop",BRAT,76,False,2.52,0.804,0.957,-5.452,0.034,0.125,0.0174,0.114,0.962,126.035
5N3hjp1WNayUPZrA8kJmJP,Please Please Please,Sabrina Carpenter,pop,Please Please Please,79,True,3.1,0.669,0.586,-6.073,0.054,0.274,0.0,0.104,0.579,107.071
5N3hjp1WNayUPZrA8kJmJP,Please Please Please,Sabrina Carpenter,pop,Please Please Please,79,True,3.1,0.669,0.586,-6.073,0.054,0.274,0.0,0.104,0.579,107.071
3siwsiaEoU4Kuuc9WKMUy5,No One Noticed,The Marías,bedroom pop,Submarine,89,False,3.94,0.705,0.339,-10.612,0.0278,0.552,0.0814,0.12,0.457,97.989
2HYFX63wP3otVIvopRS99Z,Houdini,Eminem,"rap, hip hop",Houdini,75,True,3.78,0.936,0.887,-2.76,0.0683,0.0292,1.88e-06,0.0582,0.889,127.003
7iabz12vAuVQYyekFIWJxD,BAND4BAND (feat. Lil Baby),Central Cee,"uk drill, drill, uk grime",BAND4BAND (feat. Lil Baby),73,True,2.34,0.882,0.764,-5.241,0.204,0.359,0.0,0.119,0.886,140.113
7iabz12vAuVQYyekFIWJxD,BAND4BAND (feat. Lil Baby),Central Cee,"uk drill, drill, uk grime",BAND4BAND (feat. Lil Baby),73,True,2.34,0.882,0.764,-5.241,0.204,0.359,0.0,0.119,0.886,140.113
7iabz12vAuVQYyekFIWJxD,BAND4BAND (feat. Lil Baby),Central Cee,"uk drill, drill, uk grime",BAND4BAND (feat. Lil Baby),73,True,2.34,0.882,0.764,-5.241,0.204,0.359,0.0,0.119,0.886,140.113
